Name | Location | Date | Review Title | Ratings | UID | Review Text
Alessa_Josue|Singapore- Singapore|22 February 2017|Halloween Horror Night 2016 in USS|5|668DE1D3C7567788BD0893B7A211C241|If you're in Singapore/001 you just have to include this in your itinerary! Since I am living in Singapore/001 I have been to USS several times. This review would be the latest Halloween Horror Night theme. It was a great experience and the crowd is just huge! You have to purchase the express pass and believe me it is worth every penny. You don't want to be queuing all night long. The horror houses are fun and exciting! You have to come with your friends or family. But please do not bring little kids along during the Halloween horror night because it is mainly themed for adults. But if you are going there on a regular day/001 I bet everyone of all ages will just love the experience!
centralvic|Ballarat- Australia|22 February 2017|Good fun day.|4|BB26D5CDD8779489814BD41AA04A9518|Fairly typical Universal (though I've only been to LA as well/001 I must admit) but of course it's fun. We went on a Tuesday and though a lot of the rides got longer and longer lines as the day went on/001 we got on most of them within 10 minutes- the only one was Battlestar Galactica/001 which took 30 minutes/001 even early in the day. We liked Waterworld (it's good no matter where you go!) and the Lights/001 Camera/001 Action/001 and Far Far Away Land (Shrek) was fun. If you like theme parks/001 you'll still like this/001 though I can't imagine doing it for more than a day.
Petros I|None|21 February 2017|Fantastic |5|76B23779C072A94399479A57451B3E65|Magical fantastic amazing like a story !! You can find many themes i strongly reccomend tranformers 3d ride/001 shrek 4d/001 waterworld/001 most for me :)
arieskau|New Delhi- India|21 February 2017|Universal Studios |4|D7DFB753DFFADC8C919DA22A116B9AD7|Do not get into hurry while visiting universal studios. Split Santosa Iceland trip into two days. Best place to capture pictures. Relishing rides and amusement park. Theme I loved was Jurassic park. The rides was awesome. The show was too very good. In case you love rollercoaster type rides than it's best place to relish. Walk around the park will let you move into vintage Hollywood landscapes
neelesh2016|Auckland- New Zealand|21 February 2017|Best place to young family|4|A155AF49E2A26AF78E726C5AEBB6935C|We went on most of the rides and longest waiting time we had was 30 minutes. With a young family we were able to go on so many ride it was great. Kids loved it I would go again.
Monique140968|Perth- Australia|21 February 2017|Great day out|5|9638D066FF8FE2275636FCAA19BB7FB6|My 20 year old daughter and I spent the day here. I have been to Universal in Florida and it is no where as big as there but still great fun. The 2 rollercoasters (Galactica) are fast and well worth it if you like the fast rides. Also the Mummy ride and the Transformer ride are a must!We paid the extra for the express pass and didn't wait more than 5 minutes for anything/001 in fact most of the rides we were able to get on straight away even though it was a Saturday and probably one of the busiest days to go. Well worth a visit.
Emily M|None|21 February 2017|Fun way to spend a day|5|3704852E78E2E5D4852A911C9FBEFD04|This was our first visit to a Universal Studios park/001 and it did not disappoint. There was a variety of rides to suit everyones interests. Our favourite ride was The Mummy! The architecture and decorations around the park were very impressive/001 it looked almost as if we were really in the movies. You will definitely need almost a whole day here if you want to see and do everything. Queueing times for rides were not too bad when we visited/001 usually not having to wait any more than 20 minutes per ride. The exception to this was the very popular Jurassic Park river ride/001 for which we waited about 1.5 hours in the afternoon/001 so maybe try and get to this one early in the day.There were a variety of food outlets and shops around the park.It was very easy to get to the park via the monorail to Sentosa Island. The monorail stop is right next to the park.
krystal l|None|20 February 2017|The mummy is a must|5|76A8285D8F2ED41F99ECDB9987021FAE|Make sure to check the weather before planning a trip here. Go early to avoid heavy crowds. I recommend to go straight to Transformers ride upon entering the park since this ride immediately has long lines
AM-AM-Travellers|London- United Kingdom|20 February 2017|A nice day out whilst in Singapore|4|26345728869F71A8FAAF78D1AF8A5BB7|We only spent a day here and most of it was in universal studios. Very commercial but really fun to experience.Universal Studios was good fun/001 a few good rides small version of the real thing but still something cool to do.Not really a cultural experience but its is something fun to do whilst visiting Singapore
eshendra|Colombo- Sri Lanka|20 February 2017|A fun place for the whole family|5|79CE74EA40AEBF42D0F7F332618DB780|Had a great time/001 it was a fun experience. We enjoyed all the attractions. We bought the tickets on line with the express pass. This is the best option to cut the time spent in ques. Also note the express pass is dynamically priced and can go up in price closer to the day you want to visit. Be prepared to spend the whole day at Universal Studios as you will not have time to see other attractions on Santosa. We used the Satosa express from Vivo City and if you are going on the Santosa express line/001 be prepared for a long queue and if it is a public holiday it can get very crowded.Went on the 26th of December 2016
Meenakshigupta|Gurgaon- Haryana- India|20 February 2017|Reach early and enjoy the rides....|5|7DEC0F22EEA3BE9851FC38C3375A551D|A fun place which has something for everyone. Kids and young adults enjoy the most of the rides. Very thoughtfully designed theme park and well managed facilities. Water Show was amazing and must watch. When you enter the Universal studio/001 take the schedule of events/001 as they have wonderful parades and shows. Mummy ride and Galactic are the best rides. Lost of food options/001 so do not carry your take away food or big bags. Just wear comfortable clothing and try not to carry bags else you will need to deposit in locker while you are on rides. if you are with kids/001 strollers are available on rent. Lot of places to click pictures/001 so enjoy and pose.
Judy G|Glenbrook- Australia|20 February 2017|A fun day to bring out the child within !|4|D489131D68238DA85D4AEE39048EF69D|My sister and I walked across to Sentosa Is to the Universal studios . We both had lots of fun pretending to be kidscagain The stunt show was fantastic .
Pigalle1966|Zug- Switzerland|19 February 2017|Great park with no waiting time!|5|B10AB36C2AF65AEB7F54A461F7A88602|We had a great experience/001 especially as we could do all the rides in one afternoon with basically no waiting time which was great! Even the Transformer Ride (highly recommended) had no waiting
Ashish081089|New Delhi- India|19 February 2017|Few rides  long lines..!!|3|C5FB85B509AFB63834D6DBFDC6FB2F5D|Went on a Friday and the lines were really long/001 ended up buying the fast pass but that is expensive in comparison to the fun out there. The park was small/001 plenty of food available/001 remember to carry water as the drinks are priced really high.I personally did not enjoy it much as most of the rides are more for kids/001 will not be returning.
septis|Madiun- Indonesia|19 February 2017|greatest playground|5|621C0C95B4E9C979E2250C67D59A9EDE|admission tickets to Universal Studios is $ 75 per person. once signed can visit all the existing vehicle. there are a lot of entertainment and rides are cool. performances of some talent disco at every bend in the road. satisfied to ride a roller coaster. hot weather no obstacle for feeling very happy.
amymgoodman|Port Macquarie- Australia|19 February 2017|Universal Studios Singapore|5|92D3F577C80A28DB2C0839EE2B42EB1E|Universal studios is a great day out! I advise to get there just before the park opens and definately get the express pass!! It is so worth it due to the massive waits for most rides.
Sordnaxela|Surrey- United Kingdom|19 February 2017|Best theme park ever!|5|DE44459A99806E4FF719F7B8894E0A28|Such a well made theme park. Our little boy got to meet The Minions and Transformers. There were lots of rides for him to go on too even though he is just 104cm.An amazing day out. Transformers ride was the best
duncan1977|Leeds- United Kingdom|19 February 2017|Worth a visit |4|05A13777AEE61C2DFC8FBC89116F2E89|We went here on a day trip and enjoyed it a lot/001 the only thing we did not like is the queuing/001 on some rides It would say 30 minutes wait so we joined the cue and it ended up being nearly an hour. On some rides it has a "Single Rider" option where you can jump the whole cue if you are wanting to ride the ride without your partner/kids/001 a ride that had a 60 minute wait time I got on it in 5 minutes As you would expect food and drink is quite expensive in the park so bring a pack lunch if you can.For a fee there are lockers where you can store your bags if you want to go on some of the big rides So overall a nice day out
Vejaya M|None|19 February 2017|Entertainment for all ages|5|BFDDAF8ECDE3D7786DECF885A834C0BC|It's an awesome place to have loads of fun. It's suitable for young kids who are probably taller than 120cm. There are kids rides and adult rides too. Weekdays are better as it is less crowded. However if u choose to go on the weekends or holidays/001 I would suggest taking the priority pass. It let's u try the rides faster. It is really worth it.
Shabana S|None|19 February 2017|Awesome!!!|5|782998D5E1D36246E1D716B1CA024285|Me and my husband went in early Feb and luckily it was a scorcher of a day too. We had the best time ever/001 all the rides are so much fun. We got there about 15 minutes before the park opened and there wasn't much rush at the ticket counter (it was Monday) . We brought the single express ticket which means you can use the express line for each ride once (most of the rides do have an express line). The rides we enjoyed the most were the transformers/001 the mummy ride and the Steven Spielberg experience. Because of the express ticket and not many people we did the whole park by 13:00pm/001 we then sat and watched the mels dinettes performance which was great too!! There are many dining options inside and outside the park/001 if you choose to dine outside the park attendants stamp your hand so you can come out and then go back in.
lakshmi p|None|18 February 2017|Universal studios|4|5B94C47847DF69F16491611E0C933A53|This place would be excellent for those who likes "mechanical rides". The waiting time is more than one hour With Normal tickets for each ride .To enjoy all the rides fastrack tickets are must.
outlawwa|Perth- Australia|18 February 2017|Spoilt by Universal Hollywood|4|602DC2235453C583C1FBD05AB0A1ABED|This park was small by the standards we have been to previously. That said it was clean/001 staff were very very friendly and the rides entertaining. Be aware however that most of the rides are for older kids or adults.
