Name | Location | Date | Review Title | Ratings | UID | Review Text
Hazarina Z|None|3 May 2017|Please avoid to visit USS during public holiday.|3|B97990727A6763AEC4FD04FBA27F6585|- Over crowded place. Most rides that had public attraction has longer waiting queue. Please purchase the Express Pass if you want to enjoy the rides with minimum waiting time.- Food was quite OK/001 had lunch at the restaurant near the Madagascar area. - Due to the gloomy weather towards the evening/001 most of the rides has stopped including the parade at the Hollywood lane.- I am aggrieved of the condition of the prayer room; which is located at the back and only can accommodate 5 persons at one time (in each male and female room). Perhaps the Management can allocate a dedicated area which is more comfortable for the Muslims to pray.
730matthew|Sydney- Australia|3 May 2017|over crowded|3|702DCFB52F12F9D295F6ACDD2B7F1851|we visited the universal studio/001 it was over crowded/001 it took 2 hours to queue for the transformer ride ( 4 min ride)...
Manu S|Kochi (Cochin)- India|2 May 2017|Great place to spend a day in Singapore|4|C068712DC3CE593F25C7D33B628F358E|This place offers many activities/rides with a theme that resembles some of the hollywood movies. You will never be bored on any of the rides. There are plenty of Food and beverages outlets inside the vicinity and hence one doesn't have to go out to get a snack or so.Everyone from a kid to a 60-70 year old will definitely enjoy this place
Kurt S|None|2 May 2017|Fantastic day|5|2E27B3F529E94D3115CFB3027B28476D|Had an awsome time with my mates here. Stayed for 8 hrs/001 downfall is waiting on some of the rides bt is a must do
pkj71|Bengaluru- India|2 May 2017|Over-crowded  waste of time and money|1|4A6FB9E686E7A9D686706A9C61784079|They have no limit on number of tickets they will sell on a day and the place gets over-crowded during holiday season or weekends. Each ride takes 60-90 minutes in never ending queues in Singapore hot weather and for a mere 2-3 minute ride. The entire amusement park is too small and over-hyped. The children below 10 years cannot enter so many rides. If you are still keen to visit the place/001 enter through single rider queues. Though you miss the fun of being together with your family and friends but the same is worth as the waiting time is reduced to 5-10 minutes as against normal 60-90 minutes.
Marwa T|None|2 May 2017|Amazing|5|88B7F8037078BC222929C1176146B6F7|The most worthy and amazing place to visit in Singapore..if you have one day there and you don't know where to go then go to Unoversalstudios for sureIf you're a tourist /001then buy express pass from the start before wasting a time in waiting lines
Kim M|Logan City- Australia|2 May 2017|Transformer 3D ride and Cylon Ride are the best|3|6525C5834D59EC4E8EC7585843A27F86|Firstly to be fair we live near all the theme parks on the Gold Coast in QLD Australia and because we go to these on a regular basis we couldn't help but compare USS to these. My husband and I both agree that it pales in comparison to what we are use to getting from our theme parks here in Australia. We found that there were only really 4 rides for adults (the two dualing roller coasters/001 transformers 3D ride and the mummy ride) and that the rest are all kid rides. These four rides were great but after riding them/001 and then watching the waterworld show there was nothing left for us to do there. There was excessive amounts of stores and restaurants and plenty of kids rides/001 so would be better for families I imagine. Also I wouldn't even attempt to do USS without buying the express pass. The lines were ridiculously long and we were thankful we spent the extra money. The Cylon ride was pretty much always at around an hour long. Getting into the park itself was also a joke we got there at bang on opening and waited for 40minutes in line just to get in and we went on a weekday. Overall we had a good day but we only spent four hours there all up and paid just over a hundred dollars each for the tickets and express pass/001 so it was an expensive four hours.
Dave W|None|2 May 2017|Disappoint |2|2F42A7B8C17A45C9004C9B9FFFBD5D3D|Great looking place but don't be fooled buy the repressive price of food and beverage all it poured rain which everyone had to pay 5dollars each for ponchos very small compared to America overcrowding 20 dollars maximum day for lockers even express pass was not what it seemed to help when told we have to wait 30 minutes for ride only gave 2stars because it was nice to look at this adventure was a waste of time and money have been to other universal parks and this is a poor rip off of original certainly will recommend to all l know how bad this experience was totally devastated to come so far for this
RajeevManiar|Vadodara- India|2 May 2017|Universal Studios make Singapore Amazing|5|C724828EE774B19F40975807415A8465|A must see... Never to miss - A complete family and friends destination. Rides/001 Foods/001 Dance/001 Road shows/001 Shopping - You think it at they have it. Take a map - probably a day earlier so you can plan the rides you would like. Start the day as early as possible so you get more time to spend at the Universal studios. Great Adventure - never to be missed. Children above 7 will enjoy a lot.
shuv2013|Calcutta- West Bengal- India|2 May 2017|Back to the Childhood...|5|7E94B5B0EBCFB41A93DC5E9DE22627E7|I have visited this place on 27th April'17 and still excited remembering the super duper time I have spent there with my wife. I must say its the best Amusement Park among the parks I have visited yet. If you don't have health related problem/001 may enjoy the rides like Battlefield Galactica/001 Transformer and Mummy's Revenge. A perfect place for memorable photo shoots. Shows are excellent. Carnival only on Saturdays. Ticket is only SGD 76.00 and worth paying this much amount. Restaurants in Universal studio are expensive. Rather purchase food from outside before you enter.
saruwhite|Hong Kong- China|1 May 2017|Nice place to spend the day|4|7F34255A6BCA24823B2E1F083AEBE626|Some attractions are different from the one in Japan/001 so they are new to us. Lots of roller coasters in the park! If you are looking for excitement/001 there you go! Prepare to get wet unexpectedly in some attractions too. Went on a Sunday and not too many people/001 which is good. We got the express pass and the longest wait was just 15 min. Most attractions you can get on it within 5 min/001 which saved us lots of time. Recommend getting one/001 which is SGD50 for one ride each/001 or SGD80 for unlimited rides. Last but not least/001 the minions and sesame street characters are sooooo cute!!
dtkreddy|chittoor|1 May 2017|Enjoyable with lot of joy|5|F60A92C9E0F758E711E03E5802C611A6|Oh what an experience. Very nice. No words to tell. Just Enjoy. U will become a small kid. must must visit this.
firemanwal|None|1 May 2017|Disappointing|3|B1CE3C5A76581D158DF37542342F39CF|Probably expected more/001 as in maybe a museum or history of Universal. Mainly it was rides for popular movies and hundreds of souvenir shops. But in saying so/001 it was good for the kids as they could identify the characters and the associated movies. You also have to line up for at least an hour to get in.
KateSydney|Epping- Australia|1 May 2017|A fun  fun day|5|3E417CD57D7DD0282D59987BF5F5ECDB|What a great day we had at Universal Studios. Our large extended family (8 adults/001 7 children/001 ages ranging from 3 to 65!) all enjoyed it immensely. The rides were so much fun and the Waterworld Show was really good. There are not a lot of rides for little kids but they enjoyed those they could go on. Those of us who liked the more exciting rides were in their element! We arrived around 9.45 and left at 5.15. A TIP: The express pass is a MUST! Yes/001 it does make the day rather expensive but we did not have to wait for more than 5 mins for any of the rides. The waiting time for some of the rides was 80 mins. By having the express pass we were able to go on all the rides and everyone was happy! We bought the express pass which gave you one turn on each ride - there really is not enough time to do each ride more than once. This cost was $50 as we went on a Saturday/001 if you visit on weekdays it is $30. Such a great place to visit.
