Name | Location | Date | Review Title | Ratings | UID | Review Text
Shanza H|None|5 April 2017|One of a kind |5|A2B9C7E54858C5070ED8E2BCECA3CA23|I thoroughly enjoyed this theme park. They have all the rides an amusement park needs. Great place to go with family and friends. Good for all ages. Though/001 for most of the rides we have to wait for 30 minutes/001 minimum. It's better to buy the fast pass/001 it made my trip more enjoyable.
A TripAdvisor Member|None|5 April 2017|Fun getaway with kids|5|None|Shouldn't miss the rides/001 and the foods. Queues are terrible but it's all worth it. Roller coaster and transformer are the best for me. Kids and adults will love the park itself
Ekta K|None|5 April 2017|wonderful adventure park|5|DBAC49AE90C556AE7912CB4225824584|wonderful adventure park to spend an entire day /001 although the place is crowded/001 yet it is worth the day /001transformers and mummy returns is a must experience ride. shrek is a lil boring.roller coaster takes you to another world/001 gives you an adrenaline rush altogether.
AIMEE127|Newcastle upon Tyne- United Kingdom|5 April 2017|Loved it |5|C2FA594544C755A28769B8E68BC77D32|So much fun! Get there early to avoid big lines Felt like a pair of big kids the whole time we were there!
Nikica M|Split-Dalmatia County- Croatia|4 April 2017|Funny place|4|02505E3C7EC785FCC3453E1235048083|Intresting place to visit/001 especially if you are with kids. My recomendation is not to skip WaterWorld and Transformers. Quality of the food could and should be better. Maybe is ok for asian people/001 but for me who don't like asian food so much it is not good. I refuse to eat and wait to go outside to find some good place to eat. Ah/001 almost forget. Marlin Monroe perfomane was excellent/001 I like it so much.
Ilze M|Cape Town Central- South Africa|4 April 2017|Must do!|5|7DE61B623520427A1EEB19E2662EFCBC|You cannot visit Singapore without going to Universal. The rides is amazing and there is something for everyone. We took our 2 year old and there is rides that he could do as well.
Charlotte S|Geneva- Switzerland|4 April 2017|Bad Experience to hard place|1|5DB2827D324FDED46ABB8883AE1F9AD5|If you like to wait many hours with a very hot heat temperature too hot ...Very hard experience for usFor each attraction you queue on average Minimum 45 min and up to 2 hrs for an attraction that lasts only 1 to 4 minutes !!Lots of customers and park poorly managedThe staff not professional and not friendly10% of staff speak English
vigindian|Singapore- Singapore|4 April 2017|Excellent|5|61C87F309DE9CB066EA4B29022B2D7CA|Pros:Many rides available.Transformers is the best ride (must visit)/001 according to me.1 full day can be spent inside.Many mascots in different locations at different times of the day.Cons:Anything sold inside is costly.Suggestions:Umbrella or hat must on a sunny day. I'd suggest to buy them in the city (7-eleven) as it's costly inside.
217arihantj|None|3 April 2017|Awesome Adventure Park|5|1882D82FF8C12D05E397099F347035B9|I HAve Never Been Into this type of adventure park/001 All The Rides Are Awesome and have there own enjoyment. They have all types of rides from Kids to Adult. This is the best place for age group people
Melb0urne13|Melbourne- Australia|3 April 2017|Worth the experience|3|01735D6AF52F93FD78FDCB230C4FAF1D|Spent the day at Universal and was put off straight away once we entered and went to go on the first ride/001 the guy at the entrance indicated that unsecured items should be put into lockers that were provided (which is fair enough)/001 however every locker we went to store our goods were sold out/001 we then had to find someone that represented the park to give us direction (good luck with that)/001 we eventually found two gents who were more than happy to help/001 they suggested to go back out and use the lockers situated just outside of the entrance/001 we found the lockers/001 then had trouble with inserting cash (again no one around to assist)/001 eventually had success on the last go/001 with all this we had missed an hour and a half/001 not to mention lining up at the que to get in again/001 by the way it costs 15 dollars for a small locker outside of the park opposed to 20 dollars max inside of the park. After the initial frustrating moments we went on the first ride (battle star Galactica) which took nearly 2 hours to get through/001 I did put this down to the lack of organisation when we eventually reached the ride/001 there was way too much delay in getting people off and on (the rest of the rides were super organised)/001 I understand the safety component/001 however this was due/001 in my opinion/001 poor team work (besides the ride was average). after this ride we went nearly all the major rides (I think a few people have mentioned after lunch)/001 which did not take over 30 minutes to get on (transformers 15 mins after lunch)/001 and found the organisation between these teams excellent. We have been to Universal in LA/001Knotsberry Farm in Anaheim/001 Movie world and Dreamword/001 in Queensland/001 although you can not compare these to Singapore (which is overall expensive)/001 although comparing prices for entry and food/001 fairly much the same across the board. As we were first timers here/001 I would suggest cater for the whole day here and don't forget to get your tickets from the MRT for 4 dollars each return/001 this is situated on the third floor of the Vivo centre. Best attraction for us was Transformers.
